seed,regime,alpha,delta_Q,delta_r_x,delta_phi,delta_P
20270824,no rewiring,0.0,0.0,0.028148832839784588,0.0,0.006649762383764857
20270824,no rewiring,0.05,0.0,0.04868159131065808,0.0,0.01067275213094257
20270824,no rewiring,0.1,0.0,0.03726682733776443,0.0,0.01094472918751041
20270824,no rewiring,0.15000000000000002,0.0,0.021150263118905832,0.0,0.01184582750287505
20270824,no rewiring,0.2,0.0,0.013362743430620938,0.0,0.012673047533318021
20270824,no rewiring,0.25,0.0,0.012070338245001089,0.0,0.00836686637495826
20270824,no rewiring,0.30000000000000004,0.0,0.005776516742911797,0.0,0.00789080935809544
20270824,no rewiring,0.35000000000000003,0.0,0.0002310237398243653,0.0,0.005655000433740953
20270824,no rewiring,0.4,0.0,0.0014894491054482373,0.0,0.005036693643707402
20270824,no rewiring,0.45,0.0,0.001553659392585005,0.0,0.0021771203397175642
20270824,no rewiring,0.5,0.0,0.0022357214187664343,0.0,0.0025500115827149505
20270824,no rewiring,0.55,0.0,-0.0016290531414231424,0.0,0.003017622100886297
20270824,no rewiring,0.6000000000000001,0.0,-0.0004894774105879129,0.0,0.0024312748461107203
20270824,no rewiring,0.65,0.0,0.0012165479659200784,0.0,0.0028325666361526114
20270824,no rewiring,0.7000000000000001,0.0,0.0005328762682642596,0.0,0.0006462911817687322
20270824,no rewiring,0.75,0.0,0.0006854110926121093,0.0,0.0023231047703076158
20270824,no rewiring,0.8,0.0,0.0001423659612013739,0.0,0.0009852617998394875
20270824,no rewiring,0.8500000000000001,0.0,0.00016707292159814924,0.0,0.0016923943948212727
20270824,no rewiring,0.9,0.0,0.00016608683473870456,0.0,0.002418049859802762
20270824,no rewiring,0.9500000000000001,0.0,-0.0007008391642004397,0.0,0.0007253484370802754
20270824,no rewiring,1.0,0.0,0.0,0.0,0.0
20270824,fast reversible,0.0,0.0,0.05517148077831213,0.0,0.008124620679345357
20270824,fast reversible,0.05,0.0,0.07429510884322726,0.0,0.014589709676095741
20270824,fast reversible,0.1,0.0,0.06658905872308873,0.0,0.01758495244472255
20270824,fast reversible,0.15000000000000002,0.0,0.05105736589186227,0.0,0.01964250457999983
20270824,fast reversible,0.2,0.0,0.04476476121998613,0.0,0.02182783385584483
20270824,fast reversible,0.25,0.0,0.042051731076843235,0.0,0.020515308799813836
20270824,fast reversible,0.30000000000000004,0.0,0.019632647146967053,0.0,0.040427674048453766
20270824,fast reversible,0.35000000000000003,0.15833333333333335,0.24078988059378376,-0.16239316239316237,0.14676274522851745
20270824,fast reversible,0.4,0.275,0.42619250426161176,-0.28205128205128205,0.2378044971574239
20270824,fast reversible,0.45,0.3416666666666667,0.5518424714750074,-0.3504273504273504,0.27106138125398893
20270824,fast reversible,0.5,0.3916666666666666,0.6495036141657919,-0.40170940170940167,0.29381330711284614
20270824,fast reversible,0.55,0.3583333333333333,0.5943905194830648,-0.3675213675213675,0.2548793153893708
20270824,fast reversible,0.6000000000000001,0.31666666666666665,0.54505226622049,-0.32478632478632474,0.21411419488048222
20270824,fast reversible,0.65,0.2833333333333333,0.49785172782003245,-0.29059829059829057,0.17228357481237688
20270824,fast reversible,0.7000000000000001,0.2416666666666666,0.441739458977204,-0.24786324786324784,0.1262312673317344
20270824,fast reversible,0.75,0.1499999999999999,0.27508638465877866,-0.15384615384615385,0.07341295240758627
20270824,fast reversible,0.8,0.033333333333333326,0.06187801482255517,-0.03418803418803419,0.016315356609096665
20270824,fast reversible,0.8500000000000001,0.0,0.00013555268203524484,0.0,0.0017428473620271223
20270824,fast reversible,0.9,0.0,0.0002581515454830319,0.0,0.001419957449348308
20270824,fast reversible,0.9500000000000001,0.0,-3.700980777365803e-05,0.0,-0.00034346211301294893
20270824,fast reversible,1.0,0.0,0.0,0.0,0.0
20270824,"fast reversible, slow ramp",0.0,0.0,-0.026077089857576674,0.0,0.00014200297909576498
20270824,"fast reversible, slow ramp",0.05,0.0,-0.027061937089106758,0.0,-9.80571786933504e-06
20270824,"fast reversible, slow ramp",0.1,0.0,-0.022842194516736858,0.0,-0.001118753297815217
20270824,"fast reversible, slow ramp",0.15000000000000002,0.0,-0.014841038738110046,0.0,-0.0008160589893634329
20270824,"fast reversible, slow ramp",0.2,0.0,-0.012638637640379702,0.0,0.00011585747533762736
20270824,"fast reversible, slow ramp",0.25,0.0,-0.01425252005038169,0.0,0.0012563465120896122
20270824,"fast reversible, slow ramp",0.30000000000000004,0.0,-0.006319035220435476,0.0,0.0011271114425623896
20270824,"fast reversible, slow ramp",0.35000000000000003,0.0,-0.004468038942300079,0.0,0.004147455220183949
20270824,"fast reversible, slow ramp",0.4,0.0,-0.00320596333380474,0.0,0.0065349878105398496
20270824,"fast reversible, slow ramp",0.45,0.2666666666666667,0.42059107439716126,-0.2735042735042735,0.19503982936091152
20270824,"fast reversible, slow ramp",0.5,0.3916666666666666,0.6458369217721991,-0.40170940170940167,0.2903263849000969
20270824,"fast reversible, slow ramp",0.55,0.30833333333333324,0.5345067883581451,-0.3162393162393162,0.22534430898853375
20270824,"fast reversible, slow ramp",0.6000000000000001,0.17499999999999993,0.29672000901670614,-0.1794871794871795,0.13241454622289262
20270824,"fast reversible, slow ramp",0.65,0.0,-0.0002306474958060356,0.0,-0.0010822865012926064
20270824,"fast reversible, slow ramp",0.7000000000000001,0.0,0.00016116530071697,0.0,-0.0019695735713933793
20270824,"fast reversible, slow ramp",0.75,0.0,-0.00021209616208761606,0.0,-0.0017952409340464826
20270824,"fast reversible, slow ramp",0.8,0.0,0.00021014378928918553,0.0,0.00011113864127276774
20270824,"fast reversible, slow ramp",0.8500000000000001,0.0,-8.13536132402426e-05,0.0,-0.0007877894964311016
20270824,"fast reversible, slow ramp",0.9,0.0,4.0494448776851044e-05,0.0,0.0005341567289417481
20270824,"fast reversible, slow ramp",0.9500000000000001,0.0,-0.00023629564736848963,0.0,-0.001116767350462955
20270824,"fast reversible, slow ramp",1.0,0.0,0.0,0.0,0.0
20270824,slow reversible,0.0,0.09166666666666667,0.0964724288708686,-0.09401709401709402,0.02029233770044972
20270824,slow reversible,0.05,0.1166666666666667,0.15772055414372338,-0.11965811965811962,0.04579927544958562
20270824,slow reversible,0.1,0.15000000000000002,0.19885363483454277,-0.15384615384615385,0.08120260311579003
20270824,slow reversible,0.15000000000000002,0.18333333333333338,0.23143667874953455,-0.18803418803418803,0.12649501563185356
20270824,slow reversible,0.2,0.25,0.33477845222105646,-0.2564102564102564,0.19185476804286625
20270824,slow reversible,0.25,0.275,0.3943938568761367,-0.28205128205128205,0.22668498156841033
