seed,regime,branch,level,alpha,dwell,homophily_rate,reverse_rate,graph_reset,reset_applied_here,cross_edge_fraction_of_initial,cross_edges_before_rewiring_block,cross_edges_after_rewiring_block,observed_cross_edge_drift_per_update,interior_predicted_drift_per_update,homophilic_attempts,homophilic_accepted,reverse_attempts,reverse_accepted,homophilic_acceptance_rate,reverse_acceptance_rate,Q,phi,B,mean_opinion,n_edges,n_bridges,r_x,P
20270824,no rewiring,down,22,0.9,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.0006545321351039441,240,96,0.2257175360710563,0.8557788495859388
20270824,no rewiring,down,23,0.85,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.001643910690749656,240,96,0.24043311694328526,0.8163360904623476
20270824,no rewiring,down,24,0.8,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.00047045233168796773,240,96,0.25201685382427436,0.7753497054152223
20270824,no rewiring,down,25,0.75,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.003414870549661586,240,96,0.26671366074544484,0.735842060701808
20270824,no rewiring,down,26,0.7,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.0025093088066224485,240,96,0.28033501282405315,0.6927840900915239
20270824,no rewiring,down,27,0.6499999999999999,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.005338717764142761,240,96,0.29505563337984925,0.6510528675720744
20270824,no rewiring,down,28,0.6,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.006586356345850886,240,96,0.30833020175172,0.6083665050090857
20270824,no rewiring,down,29,0.55,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.0068975174647115025,240,96,0.323549207085072,0.5649307092502945
20270824,no rewiring,down,30,0.5,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.005846327854565739,240,96,0.33998856516192344,0.5203442750104177
20270824,no rewiring,down,31,0.44999999999999996,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.007740284613183587,240,96,0.357860008917606,0.47360181645002025
20270824,no rewiring,down,32,0.3999999999999999,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.011377056938401606,240,96,0.3767104139627839,0.42867289479328397
20270824,no rewiring,down,33,0.35,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.011515656672045155,240,96,0.3934707295661223,0.38314013209182474
20270824,no rewiring,down,34,0.29999999999999993,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.011296570064913514,240,96,0.4127966870061588,0.33704797782522855
20270824,no rewiring,down,35,0.25,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.009825635276038353,240,96,0.4300861532881631,0.28708501326977026
20270824,no rewiring,down,36,0.19999999999999996,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.012363229692237639,240,96,0.4443853052943633,0.2416048043900012
20270824,no rewiring,down,37,0.1499999999999999,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.014941172569768563,240,96,0.46227444704653936,0.19066816625226646
20270824,no rewiring,down,38,0.09999999999999998,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.012971872903049964,240,96,0.48171920703728754,0.14057212738823496
20270824,no rewiring,down,39,0.04999999999999993,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.01259119200566428,240,96,0.48660181038048417,0.09466692765279253
20270824,no rewiring,down,40,0.0,30,0.0,0.0,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.007886329403589505,240,96,0.4864288487808162,0.05118831288272836
20270824,fast reversible,up,0,0.0,30,0.01,0.02,False,False,1.0,96,96,0.0,3.2,0,0,45,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.0031591359677757324,240,96,0.4582800159410316,0.044538550498963506
20270824,fast reversible,up,1,0.05,30,0.01,0.02,False,False,1.0,96,96,0.0,2.8800000000000003,0,0,46,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.005497048460876723,240,96,0.4379202190698261,0.08399417552184996
20270824,fast reversible,up,2,0.1,30,0.01,0.02,False,False,1.0,96,96,0.0,2.56,0,0,40,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.008731606226300637,240,96,0.4444523796995231,0.12962739820072455
20270824,fast reversible,up,3,0.15000000000000002,30,0.01,0.02,False,False,1.0,96,96,0.0,2.2399999999999998,0,0,33,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.008398664464565952,240,96,0.44112418392763353,0.1788223387493914
20270824,fast reversible,up,4,0.2,30,0.01,0.02,False,False,1.0,96,96,0.0,1.92,0,0,24,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.007407466825779285,240,96,0.4310225618637424,0.22893175685668318
20270824,fast reversible,up,5,0.25,30,0.01,0.02,False,False,1.0,96,96,0.0,1.6,0,0,30,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.0081517161018814,240,96,0.418015815043162,0.278718146894812
20270824,fast reversible,up,6,0.30000000000000004,30,0.01,0.02,False,False,1.0,96,96,0.0,1.2799999999999998,0,0,25,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.010238690174012166,240,96,0.407020170263247,0.3291571684671331
20270824,fast reversible,up,7,0.35000000000000003,30,0.01,0.02,False,False,1.0,96,96,0.0,0.9599999999999997,0,0,17,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.010948928571724727,240,96,0.3932397058262979,0.3774851316580838
20270824,fast reversible,up,8,0.4,30,0.01,0.02,False,False,1.0,96,96,0.0,0.6399999999999999,0,0,7,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.009258029102112906,240,96,0.37522096485733564,0.42363620114957656
20270824,fast reversible,up,9,0.45,30,0.01,0.02,False,False,1.0,96,96,0.0,0.31999999999999995,0,0,6,0,,0.0,0.09968750000000001,0.41025641025641024,1.0,-0.01026597638003906,240,96,0.356306349525021,0.4714246961103027
20270824,fast reversible,up,10,0.5,30,0.01,0.02,False,False,1.0,96,96,0.0,0.0,0,0,0,0,,,0.09968750000000001,0.41025641025641024,1.0,-0.007421143766146829,240,96,0.337752843743157,0.5177942634277027
20270824,fast reversible,up,11,0.55,30,0.01,0.02,False,False,0.9166666666666666,96,88,-0.26666666666666666,-0.16000000000000014,4,4,0,0,1.0,,0.13302083333333334,0.37606837606837606,0.9166666666666666,-0.004763951273549366,240,88,0.39245507185615397,0.5757969035862093
20270824,fast reversible,up,12,0.6000000000000001,30,0.01,0.02,False,False,0.8125,88,78,-0.3333333333333333,-0.3200000000000003,5,5,0,0,1.0,,0.17468750000000002,0.3333333333333333,0.8125,-0.0020687344708678556,240,78,0.4416652263640494,0.6332567793001926
20270824,fast reversible,up,13,0.65,30,0.01,0.02,False,False,0.7291666666666666,78,70,-0.26666666666666666,-0.4800000000000001,4,4,0,0,1.0,,0.20802083333333335,0.29914529914529914,0.7291666666666666,-0.001301695756251825,240,70,0.4885468999410581,0.6899875500176913
20270824,fast reversible,up,14,0.7000000000000001,30,0.01,0.02,False,False,0.625,70,60,-0.3333333333333333,-0.6400000000000003,5,5,0,0,1.0,,0.24968750000000003,0.2564102564102564,0.625,-0.003869858963288575,240,60,0.544112570673588,0.7491240401900863
20270824,fast reversible,up,15,0.75,30,0.01,0.02,False,False,0.3958333333333333,60,38,-0.7333333333333333,-0.8,11,11,0,0,1.0,,0.34135416666666674,0.1623931623931624,0.3958333333333333,-0.004054318844521962,240,38,0.7107402630363533,0.8157829563072652
20270824,fast reversible,up,16,0.8,30,0.01,0.02,False,False,0.10416666666666667,38,10,-0.9333333333333333,-0.9600000000000002,14,14,0,0,1.0,,0.4580208333333333,0.042735042735042736,0.10416666666666667,-0.0014493115147813207,240,10,0.9233591349014691,0.8825560338388085
20270824,fast reversible,up,17,0.8500000000000001,30,0.01,0.02,False,False,0.020833333333333332,10,2,-0.26666666666666666,-1.1200000000000003,19,4,0,0,0.21052631578947367,,0.49135416666666665,0.008547008547008548,0.020833333333333332,0.000612675632950907,240,2,0.9847427418542701,0.9077303301547506
20270824,fast reversible,up,18,0.9,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-1.28,25,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,0.0016271114940825337,240,2,0.9841564314392333,0.9167869975569817
20270824,fast reversible,up,19,0.9500000000000001,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-1.4400000000000002,17,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,-4.1266074494800134e-05,240,2,0.9838626124196792,0.9275958788575693
20270824,fast reversible,up,20,1.0,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-1.6,18,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,-0.0007866705280753922,240,2,0.9831126422135845,0.9338989865237955
20270824,fast reversible,down,21,0.95,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-1.44,22,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,0.0015169600506289543,240,2,0.9838256026119055,0.9272524167445564
20270824,fast reversible,down,22,0.9,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-1.28,16,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,-1.3222219835387627e-05,240,2,0.9844145829847163,0.91820695500633
20270824,fast reversible,down,23,0.85,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-1.1199999999999999,22,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,-0.0005383580158371843,240,2,0.9848782945363054,0.9094731775167777
20270824,fast reversible,down,24,0.8,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-0.9600000000000002,22,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,0.001104078967087785,240,2,0.9852371497240243,0.8988713904479052
20270824,fast reversible,down,25,0.75,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-0.8,10,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,-0.0012433213178207948,240,2,0.985826647695132,0.8891959087148514
20270824,fast reversible,down,26,0.7,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-0.6399999999999999,10,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,0.00036190176203420855,240,2,0.985852029650792,0.8753553075218207
20270824,fast reversible,down,27,0.6499999999999999,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-0.47999999999999976,9,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,-0.0016287337464765683,240,2,0.9863986277610906,0.8622711248300682
20270824,fast reversible,down,28,0.6,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-0.31999999999999995,5,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,-0.0019840989195391403,240,2,0.9867174925845393,0.8473709741806749
20270824,fast reversible,down,29,0.55,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,-0.16000000000000014,2,0,0,0,0.0,,0.49135416666666665,0.008547008547008548,0.020833333333333332,-0.0014090581404308134,240,2,0.9868455913392187,0.8306762189755801
20270824,fast reversible,down,30,0.5,30,0.01,0.02,False,False,0.020833333333333332,2,2,0.0,0.0,0,0,0,0,,,0.49135416666666665,0.008547008547008548,0.020833333333333332,0.0006786919956956406,240,2,0.987256457908949,0.8116075705405489
20270824,fast reversible,down,31,0.44999999999999996,30,0.01,0.02,False,False,0.14583333333333334,2,14,0.4,0.3200000000000003,0,0,6,6,,1.0,0.4413541666666667,0.05982905982905983,0.020833333333333332,-0.004701255607124333,240,14,0.9081488210000284,0.7424860773642916
20270824,fast reversible,down,32,0.3999999999999999,30,0.01,0.02,False,False,0.3125,14,30,0.5333333333333333,0.6400000000000006,0,0,8,8,,1.0,0.37468750000000006,0.1282051282051282,0.020833333333333332,-0.008113630119507149,240,30,0.8014134691189474,0.6614406983070005
20270824,fast reversible,down,33,0.35,30,0.01,0.02,False,False,0.6041666666666666,30,58,0.9333333333333333,0.9600000000000002,0,0,14,14,,1.0,0.25802083333333337,0.24786324786324787,0.041666666666666664,-0.014071554798388142,240,58,0.6340295864200817,0.5242478768866012
20270824,fast reversible,down,34,0.29999999999999993,30,0.01,0.02,False,False,1.0,58,96,1.2666666666666666,1.2800000000000007,0,0,22,19,,0.8636363636363636,0.09968750000000001,0.41025641025641024,0.0625,-0.015784693837052593,240,96,0.42665281741021405,0.3695848425155869
20270824,fast reversible,down,35,0.25,30,0.01,0.02,False,False,1.0,96,96,0.0,1.6,0,0,22,0,,0.0,0.09968750000000001,0.41025641025641024,0.0625,-0.013934157707094297,240,96,0.4600675461200052,0.29923345569462584
20270824,fast reversible,down,36,0.19999999999999996,30,0.01,0.02,False,False,1.0,96,96,0.0,1.9200000000000004,0,0,28,0,,0.0,0.09968750000000001,0.41025641025641024,0.0625,-0.015726775788866172,240,96,0.4757873230837285,0.250759590712528
