step,branch,alpha,G,M,L,C,dwell,neutralized
61,down,0.475,0.9974021256220458,0.9678647035313501,0.99944130502898,0.978485733771824,50.0,none
62,down,0.44999999999999996,0.9966525713744767,0.9643775272522586,0.999365106902266,0.9804104647014777,50.0,none
63,down,0.42499999999999993,0.995681835610895,0.9604580812622785,0.9992511929842262,0.9821169229158343,50.0,none
64,down,0.3999999999999999,0.9944219004645867,0.956025599804699,0.9990900800145166,0.9836155134754465,50.0,none
65,down,0.375,0.9927820408296438,0.950980837842803,0.9988685923275155,0.9849124121041785,50.0,none
66,down,0.35,0.9906399925417799,0.945201239216665,0.9985686028991946,0.9860088429417472,50.0,none
67,down,0.32499999999999996,0.9878287563390828,0.9385345950964743,0.9981651945759717,0.9868999541217404,50.0,none
68,down,0.29999999999999993,0.9841161349288459,0.9307905424508853,0.99762392276876,0.9875730703776887,50.0,none
69,down,0.2749999999999999,0.979171482043357,0.9217288102068466,0.9968966172577601,0.988004927431864,50.0,none
70,down,0.25,0.9725083491632958,0.9110422082353653,0.9959146655502474,0.9881571330305368,50.0,none
71,down,0.22499999999999998,0.9633775523174312,0.8983302448307912,0.9945776161670442,0.9879682864347666,50.0,none
72,down,0.19999999999999996,0.9505457033410132,0.8830536526151708,0.9927321633396703,0.9873391193809288,50.0,none
73,down,0.17499999999999993,0.9317621672290146,0.8644422272404705,0.9901283227601458,0.986100812406033,50.0,none
74,down,0.1499999999999999,0.9021325025456357,0.8412540046501302,0.9863080132027326,0.9839326676569761,50.0,none
75,down,0.125,0.8462104624552187,0.8107821820047281,0.980188141612882,0.980047774132942,50.0,none
76,down,0.09999999999999998,0.14307746380622433,0.7206488456575006,0.9541332560192833,0.9608856767528985,50.0,none
77,down,0.07499999999999996,0.07984138377458673,0.6175184917739225,0.912084628999936,0.9291317897600343,50.0,none
78,down,0.04999999999999993,0.0515625283342329,0.5461705559415563,0.8704119148131675,0.8973039112415132,50.0,none
79,down,0.02499999999999991,0.03539568087072533,0.5004664344900546,0.8298476880721027,0.8659544490387584,50.0,none
80,down,0.0,0.025110543518970428,0.47605720823804176,0.7906802974518238,0.8353127491889966,50.0,none
