draw,area_baseline,area_neutralized,memory_attributable_area,multiplier_gain,multiplier_w_g,multiplier_w_alpha,multiplier_w_m,multiplier_w_l,multiplier_w_c,multiplier_threshold,multiplier_tau_m,multiplier_tau_l,multiplier_tau_c,multiplier_delta_m,multiplier_decay_l,multiplier_consolidate_c,multiplier_recover_c
0,0.5093412974987112,0.022592048265507477,0.4867492492332037,1.0061641950147902,1.0231508867297998,0.9449883053921044,0.8960990258801171,1.0713688811612356,0.8286187783202804,1.1418735195778478,0.8087313261825566,0.880942092119249,1.1894583243066585,1.0701161765699918,1.0034901451524074,1.0936736269179845,1.1757344067446152
1,0.5852626731941277,0.06512165777799145,0.5201410154161363,1.10777138665483,1.0428476707632222,0.9182674397062948,1.019598566593921,1.0684429851056438,0.9343428668256384,1.1236079642762702,0.940953560337129,0.9402091397781176,0.8990468322666496,1.1245400977406135,1.0187639097810248,0.8984922881156783,1.0483571031923153
2,0.4546556917059183,0.002410514452926359,0.45224517725299196,0.8137647375510267,1.0870087399666462,0.8630491684897272,0.818734441718962,0.9667856818831375,0.8153210202077554,1.1329932078039726,1.1861168099637935,0.9806797676326353,1.1102400603809965,0.9135096421017456,1.0574116701510459,0.8103834471248221,1.0777936612682608
3,0.46560021687109027,0.0675391417528326,0.39806107511825767,1.0259560318615535,1.1861230250416015,1.0979498968987547,0.851718169916745,1.195764583418838,1.1681937835584582,0.9391408203622359,0.9689466750243587,1.1560842504569382,0.9523415482415413,0.8567893117218726,1.0392355895524796,1.0612735638953328,0.8471226859050771
4,0.3907269955920744,0.027943351236554705,0.3627836443555197,1.1058854233036055,1.0332514754318465,1.1431088767947015,0.9897824678393156,0.9900402865792314,0.9276878693899603,0.8194962266613436,1.190659587453685,1.1814511015974913,1.0510891373657198,0.9057230750381704,0.8344620061097683,0.8054005405128339,1.1421716193607634
5,0.5663911101100612,0.008129347209742262,0.5582617629003189,1.1269822114485428,0.8087122696064849,0.8646586609150014,1.1638426119302412,0.9984638548553164,0.9591378760046019,1.0972704646650147,0.8960324256080815,0.8191249223548338,0.9433526994753649,1.1202036703702505,1.0683581739129184,1.038346822937619,1.118346310399274
6,0.4022229877444106,6.0429272168615235e-05,0.402162558472242,0.8647193570414069,0.8237071050089163,1.0819327704635646,0.8914619085621965,0.936710616133772,1.1379691804148833,1.1906725640446356,1.0874310000501117,1.099837834098953,0.9616529323733604,0.8898538408591863,0.9698335202540405,1.1108340172027165,0.9421828828920242
7,0.46889193820146735,0.04670873212333028,0.4221832060781371,1.1956389256226063,0.9381629497556905,0.9219640976300435,1.1109364915396656,1.1520509804967989,1.1180250685801383,0.802433840181801,1.0003777399224647,0.8440971940822992,1.1369037690652997,1.142003499564643,0.9666675314336248,1.1795233175340964,1.068657870056685
8,0.43305107065010284,0.0005394395147505997,0.43251163113535224,1.0080812638220862,0.8504089088051496,1.0693982433046714,1.0931706772992493,0.8838067500137398,1.103298704255233,1.18583345328379,0.9927889761335059,0.9161706855993292,1.0494500468606134,1.1387513741682163,0.9394005299431694,0.8553766767952415,0.9990876623086145
9,0.3809868834516351,0.03984892777047947,0.3411379556811556,0.8963878469254403,1.173396297640604,0.9810326737897803,0.9897288239764166,1.0622777547052444,0.971809439779633,0.8239457445229317,1.0236512117842806,0.8823075525214713,1.1074853003005787,1.150326502583748,0.8358848876834942,0.831430505887399,1.176878026230685
10,0.43123720797630954,5.519554327285816e-05,0.43118201243303667,0.8117804996694842,0.8669879581869048,0.9434206654580153,1.0061193908284445,1.1226438326870536,1.1907575697752706,0.970310941165898,0.8941920483589189,1.1750490763891788,1.0977497037029154,1.103286314793917,0.8555195989010134,0.8974956117892275,1.0283626974075692
11,0.4626664155111985,0.015829120749340796,0.44683729476185774,0.9723580772176539,1.0125823353622017,0.957935993625652,0.9891274245209417,0.839608949987416,0.8646623451037257,1.0882266788696324,0.879350952320902,1.1776883968678493,0.9355373691509985,0.9744248654131593,1.1225154441865024,1.157571277362381,0.9627563469805788
