neutralized,n_channels,area,max_gap,alpha_at_max_gap,alpha_up_half,alpha_down_half,threshold_width
none,0,0.4475376343725178,0.9721632741924653,0.325,0.6000000000000001,0.09999999999999998,0.5000000000000001
C,1,0.329630309697509,0.954530292063131,0.4,0.6000000000000001,0.22499999999999998,0.3750000000000001
L,1,0.2776853676146821,0.9405598280283727,0.45,0.6000000000000001,0.2749999999999999,0.3250000000000002
M,1,0.4239312371820216,0.946168723805696,0.4,0.625,0.1499999999999999,0.4750000000000001
L+C,2,0.17157157600780065,0.8960382528907572,0.525,0.625,0.3999999999999999,0.2250000000000001
M+C,2,0.2510998638166504,0.8925750063812667,0.5,0.65,0.35,0.30000000000000004
M+L,2,0.17661642861524163,0.8377684474455392,0.55,0.675,0.44999999999999996,0.2250000000000001
M+L+C,3,0.012944457927116878,0.5177031694249121,0.65,0.675,0.625,0.050000000000000044
