draw,signed_area,absolute_area,max_absolute_gap,endpoint_state_deficit,endpoint_G_gap,threshold_width,full_system_multistable,multiplier_gain,multiplier_w_g,multiplier_w_alpha,multiplier_w_m,multiplier_w_l,multiplier_w_c,multiplier_threshold,multiplier_tau_m,multiplier_tau_l,multiplier_tau_c,multiplier_delta_m,multiplier_build_0,multiplier_build_alpha,multiplier_decay_l,multiplier_consolidate_c,multiplier_recover_c
0,0.47885073370638964,0.47885073370638964,0.9740510956124749,0.5715703433455792,0.0055757308668032655,0.55,True,1.002745839282106,1.0794008269436564,1.0270423861966023,0.9869690553773426,1.0624887224607855,0.8426684403657658,1.161505607540834,0.9620632309724676,1.0976507339349681,0.8099149329166232,1.0374326295274783,1.102774457274139,0.9560930333198576,0.9817587763918502,1.0616200547919672,0.9158301389164509
1,0.5770396247320025,0.5770396247320025,0.9859403515121706,0.5139784890711577,0.0020430748343624097,0.65,True,1.192991971175842,0.9040673093511951,0.9292039597095264,0.9729221336436331,1.1598549684632822,0.9638620392127272,1.1789737303430465,1.033818386713454,0.9896674558961285,0.8585432659889977,0.8685909766284532,0.9375130162196388,1.1502095111190132,0.909112880490139,1.0823785224104996,1.0266272312667293
2,0.46460228209070265,0.46460228209070265,0.9663831876338892,0.6827955573653828,0.032000105882594464,0.5500000000000002,True,0.952574335650087,1.0990297979026262,1.0493560541058673,0.9828585256570885,1.1855521328336884,0.9082712198743567,1.0085114797979164,1.093049663257741,0.803655918795638,1.1960779434883784,0.8802729308145322,0.932006233582422,1.0108349008404505,0.9337739141667784,0.916231591209884,1.1734969940387656
3,0.33645281028631463,0.33645281028631463,0.9453937072817666,0.7059334632657628,0.08721263005552794,0.4000000000000001,True,1.0563931653875849,0.8107291638328807,1.1661227254628443,0.9589915425312954,1.0719785811836333,0.884484560389251,0.8063175748268019,0.8447485330044565,0.8009602459651708,1.0761616021829776,0.8520156702282792,0.9294834613507171,1.0482492119591367,1.0963414721954836,0.8479527150179779,1.0318275909564927
4,0.5317576074601031,0.5317576074601031,0.9849341072837442,0.7140317429110926,0.024837094628930936,0.6000000000000001,True,1.1369390809617819,1.0531374840049144,0.9922941338406542,0.9324102582266908,1.1871402828069366,0.9714701918314157,0.9922555798056274,0.9221519406859168,0.9297741305234333,0.9367111781744188,1.1890483775022407,1.1321589870181559,1.157014006931645,0.8381702156260491,1.1203565325485823,1.1747698045403026
5,0.423161548748499,0.423161548748499,0.9721922149211147,0.6288521470291711,0.011058970998132913,0.5000000000000001,True,1.0654718403351164,1.1049491485628997,1.1115978201093737,0.9139709411348662,0.9259037049219196,0.8867084849581233,0.9984036222589352,0.9110071653694763,1.0156482360269459,1.0206633811259294,1.0256325261201762,0.9854800853922182,0.8016345514025255,0.9557644741353903,0.8164774671898442,0.8648167442304007
6,0.425688176838919,0.425688176838919,0.9527796156040863,0.6590973561240451,0.03819452126909116,0.5000000000000001,True,1.0354322985591602,0.8658560830550387,0.9199644807288689,0.9374914126636023,1.0129402381848969,0.8672343299527923,0.8774238315244098,1.172604010167745,0.8858683539911582,0.9672071933353632,1.1404087072770193,0.9627236286595733,1.07346580902742,0.9595700339685251,0.814766151007206,1.1501635983766
7,0.4370643914023877,0.4370643914023877,0.9860535758945899,0.7319857996481355,0.01059820848602911,0.5000000000000001,True,1.1831387643185574,1.1510473994718806,1.1172609926945305,1.0347201223958566,0.8104253881935345,0.8971039809324117,0.9677180515685013,1.0311600412015705,0.8785995500083503,0.8414315192775185,0.9503906744180233,0.9703127086844388,1.113406701709468,1.0605417365183285,1.0434362530876977,0.9575960262116289
8,0.4387242921941535,0.4387242921941535,0.9576137087751022,0.45632816982295554,0.003398937782769048,0.5000000000000001,True,1.0105518350268472,0.8442834300998978,0.9547190326048762,0.9423199978459862,0.8404500307078294,1.0297474468925618,1.1540581068461955,0.8652159498239725,0.8232980754924202,0.9403688774376807,1.0385735744380886,1.1661516075071399,1.0016724219260815,1.1011697513048126,1.1013189530566498,1.093392493615163
9,0.5683401618376521,0.5683401618376521,0.9798874923588826,0.5012756169120391,0.003033017741886304,0.6500000000000001,True,1.0587574044598669,0.9034678831013818,0.8963453069526671,1.1922811564842655,1.0024683193006694,1.1377455709361186,1.194102282693932,1.1751941503256331,0.839523143778405,0.8012933789855818,0.9692187436770145,0.9998938615132654,0.9442336269724547,0.8288772252825299,1.0269780320482034,1.0374901815720066
10,0.43001526058807926,0.43001526058807926,0.9798425957596056,0.7408351918579412,0.03926223055906058,0.5,True,1.1381488848515466,1.0461576085443225,1.091949129435518,1.154022221700825,0.9173224906762285,1.086400316941043,0.8811949945215554,1.0467739368769453,0.947153631333757,0.8120959061002825,0.8260605168992038,1.098234037258102,0.8577531363246581,1.0719464183427796,0.8581726780682075,1.0587972070296752
11,0.5787211804460991,0.5787211804460991,0.9836748479474656,0.7273085119335063,0.04140236864959319,0.65,True,1.153321838894491,0.991141982934078,0.8272588064210492,1.16435138041739,1.0574622065854973,1.104145761122846,0.9001589933773411,0.9553527184671922,1.1540015678376832,0.9766388901650522,0.859005449400635,0.948183904360349,1.1187998560318366,0.8950252512574913,1.1856474429313875,0.9289203816434546
12,0.3523235943019902,0.3523235943019902,0.9553786740977358,0.8622986521757247,0.8944430236135731,,True,0.9386496655572552,1.1251666374870097,1.060938951121781,0.9189642808768379,1.1321099259315455,0.9635722938011355,0.8008293822503252,0.9860974732893948,1.0072151922901682,1.0898650464501236,0.9338162006452125,0.9405803712614061,0.9990816958509243,0.8070005714278918,0.9404918750468104,0.8833942089958876
