link,seed,signed_area,absolute_area,max_absolute_gap,endpoint_state_deficit,endpoint_G_gap
logistic,270000,0.4467716673480487,0.4494110426209143,0.9862713356744219,0.6530722214404028,0.027912688249672152
logistic,270001,0.44586803723865864,0.44680904285100415,0.9783078480671279,0.6528044132865131,0.028762434051992924
logistic,270002,0.4449965689674226,0.44843126538405437,0.9925296889331249,0.6562728989789196,0.008835881693735547
logistic,270003,0.44564309972383576,0.4468353879735417,0.9797822640232667,0.6556314414704258,0.016340724778210202
logistic,270004,0.44854303910385523,0.4496869940072838,0.9867563508511253,0.656378011943986,0.04698320745605618
logistic,270005,0.4495935257144569,0.45124014825379294,0.9839642847587965,0.6558707084107878,0.029656632403841046
logistic,270006,0.44470069603025464,0.44745479767344026,0.9794789829473766,0.655469184017895,0.026567356748051
logistic,270007,0.44801261441248447,0.4485385748808077,0.9884249388727625,0.6561717888741104,0.043152707818837205
logistic,270008,0.447992573546315,0.44870607926186884,0.9897720649498074,0.6550349384517655,0.016745350316593757
logistic,270009,0.4468060592202465,0.4487063627806073,0.9793875907721473,0.6557869727707535,0.028890624326915235
logistic,270010,0.44361296397325034,0.4447066086007247,0.9724346082448807,0.6524065698494872,0.029792848410512385
logistic,270011,0.44333542051679287,0.4452631538190819,0.9754321235728083,0.6535558169025286,0.04757217273463671
logistic,270012,0.4455028765541406,0.4499784693226846,0.9793906338204056,0.6544062924075943,0.025193751430201954
logistic,270013,0.44528574606221594,0.44818750440360616,0.9830923025677675,0.6574517051919585,0.014594448830150108
logistic,270014,0.4421684576543653,0.44452253316037904,0.9767028135434623,0.6533958649202976,0.017197643172852
logistic,270015,0.4459397882394712,0.4472321079594899,0.9781945530563351,0.656073239636382,0.01327418546184841
logistic,270016,0.44508182464022017,0.4456778963870781,0.9762097641778299,0.6564810776220341,0.04905778930065644
logistic,270017,0.44732767300130705,0.4493578207227501,0.9915644349174305,0.6563005992161424,0.02449228082074287
logistic,270018,0.44616575134615416,0.4474663716815747,0.9750401409379897,0.6509184023330363,0.032955290269109476
logistic,270019,0.44635090783019943,0.44918599147852484,0.991342020564466,0.6537363125462886,0.038592283964370436
logistic,270020,0.4463443071351946,0.44808329043216305,0.9903255703253022,0.6570318252823387,0.03735463737185994
logistic,270021,0.44125367477172417,0.4437253986039487,0.976326902107867,0.654209222126893,0.016748524861341228
logistic,270022,0.44353997827474384,0.44640592259180384,0.9820992974600187,0.6584582005619999,0.03230212894604693
logistic,270023,0.4419348027666008,0.4458784621712509,0.97983570116725,0.6530577872914374,0.023024562700836207
logistic,270024,0.44039986273532883,0.4453649620503156,0.9704360695933911,0.6578760439433837,0.02128975006707514
logistic,270025,0.444710835584048,0.4464637708693824,0.9829494294570031,0.6530474829552413,0.022903842247927467
logistic,270026,0.4451711551357831,0.4486752837376762,0.9866499260192996,0.6543022844924818,0.021678111539322104
logistic,270027,0.4457594413905375,0.4483451275369425,0.975339618814874,0.6586188007195961,0.016440371783684505
logistic,270028,0.4463626549262082,0.4480584020666486,0.9767696578500257,0.6569747286984553,0.025459615724311272
logistic,270029,0.4447160061842884,0.4482639128908557,0.9782614528227163,0.6540217527812048,0.0327920790858358
logistic,270030,0.4474573204519323,0.4480319858223092,0.982764406042222,0.6541318148639246,0.036191738564971446
logistic,270031,0.4427614518992101,0.4471115768684118,0.9829045347052752,0.6543901506003256,0.039682558890145804
logistic,270032,0.44833796094655864,0.4490620838090194,0.974548331760692,0.6553571883655321,0.022238325920598812
logistic,270033,0.4474939796873313,0.44821321887846594,0.9852843079415445,0.6555907596708501,0.017960291411839722
logistic,270034,0.44873163635603247,0.4515552421103727,0.9823897941397355,0.6551285824890825,0.03993669173806059
logistic,270035,0.44606294899377175,0.447612248773491,0.9758674630848295,0.6563080258495281,0.02152636509898797
logistic,270036,0.4481238150665199,0.4505187716370241,0.9904455027243689,0.6570603122371413,0.016661779469701175
logistic,270037,0.4423840406542955,0.4464089539087848,0.9754782474427192,0.6508561500479585,0.03870954838848453
logistic,270038,0.4482799225954085,0.44894896304947396,0.9797606197234041,0.6533497489050754,0.0133419228542545
logistic,270039,0.4457888732626461,0.44693639067962154,0.9836439187264914,0.654089231071637,0.04224489567963589
logistic,270040,0.4470702845055593,0.44924785047944815,0.9972373221267198,0.6571172820331531,0.02741997499070049
logistic,270041,0.4430717581958037,0.44552442352572963,0.9820617672193158,0.6546854277672566,0.03145373141408587
logistic,270042,0.44517658111718955,0.44772773637810676,0.9681161667225651,0.6561921093140337,0.031596123137072066
logistic,270043,0.44984677198008693,0.45017357137271585,0.9776220290899855,0.6567369113386455,0.03173488751576711
logistic,270044,0.44382684734298655,0.44557318508331395,0.965464806847767,0.6593658450034237,0.021732654302040577
logistic,270045,0.44487382258703384,0.4472905748460723,0.9986683538104015,0.6548067733645528,0.012903869911873946
logistic,270046,0.44439855422243263,0.44757880151530577,0.9813925214046122,0.6541727987614355,0.010840724224442903
logistic,270047,0.44406199847659594,0.4450307952618711,0.99735749888424,0.6511631614746665,0.02235130860351444
logistic,270048,0.4447680326782596,0.4471352806392222,0.9750093436917734,0.6539760060448393,0.01988975705589825
logistic,270049,0.44745116548565383,0.44985892372647734,0.9749159869375614,0.6561202299856785,0.019740111925645235
logistic,270050,0.4448255602982163,0.4477470672359388,0.9873130087162884,0.6558534552707794,0.026309028315918873
logistic,270051,0.4486892496899315,0.4496996741771081,0.9887443498114008,0.655142576329944,0.029973234328639034
logistic,270052,0.445242651475331,0.4484309769553961,0.9843128907932996,0.6553368461524494,0.017098159131921302
logistic,270053,0.4466500842611638,0.4485176384528336,0.978728778873733,0.6507303571379685,0.025029065736709686
logistic,270054,0.4432299081344812,0.44531821200471067,0.9761741398559013,0.6550465111017684,0.02213190874352481
logistic,270055,0.44289341386464703,0.44510907086319634,0.9800609098317823,0.654226306049906,0.017682428719805146
logistic,270056,0.4445656813886349,0.44599439189116347,0.9733398239705158,0.6563266286617337,0.01785515454396199
logistic,270057,0.44591322113386955,0.4479707609438909,0.9803885861476818,0.6572273244858858,0.030047065435350073
logistic,270058,0.44599880752299603,0.4482069154826869,0.9776154554358426,0.6572826134265243,0.045011037028644243
logistic,270059,0.4434908096467924,0.4457915863557036,0.972429940690338,0.6528326758478296,0.016313939093367844
logistic,270060,0.4411156088109757,0.4434555749681638,0.9806773792388515,0.652187046980153,0.01155997662473433
logistic,270061,0.4458911635903133,0.44807646957703684,0.982405324898043,0.6520312870716043,0.0050258618893399675
logistic,270062,0.4444176699782705,0.4463746242420182,0.9861046242844606,0.6544535787394834,0.0120081758510115
