gain,w_g,area,max_gap,alpha_at_max_gap,alpha_up_half,alpha_down_half,threshold_width
7.0,0.3,0.336255521725016,0.8087852276275314,0.43333333333333335,0.6333333333333333,0.2333333333333334,0.3999999999999999
7.0,0.32,0.3406044864662682,0.819799302470208,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
7.0,0.33999999999999997,0.34483390788961166,0.8293510926574912,0.4,0.6,0.19999999999999996,0.4
7.0,0.36,0.34892110840885937,0.8402528863625461,0.4,0.6,0.16666666666666663,0.43333333333333335
7.0,0.38,0.3530158889677412,0.8491953697662206,0.4,0.6,0.16666666666666663,0.43333333333333335
7.0,0.4,0.3570031342746786,0.8578484077130999,0.36666666666666664,0.5666666666666667,0.16666666666666663,0.4
7.0,0.42,0.3606112358433083,0.8666502478884313,0.36666666666666664,0.5666666666666667,0.1333333333333333,0.43333333333333335
7.0,0.44,0.36450373417347975,0.873879604870277,0.36666666666666664,0.5666666666666667,0.1333333333333333,0.43333333333333335
7.0,0.45999999999999996,0.36887994594146295,0.8815773279493869,0.3333333333333333,0.5666666666666667,0.09999999999999998,0.4666666666666667
7.0,0.48,0.37165024170555705,0.8886578502388613,0.3333333333333333,0.5333333333333333,0.09999999999999998,0.43333333333333335
7.0,0.5,0.37483374898083993,0.8944961462216457,0.3333333333333333,0.5333333333333333,0.09999999999999998,0.43333333333333335
7.0,0.52,0.3810659497799959,0.901254603812784,0.3,0.5333333333333333,0.06666666666666665,0.4666666666666667
7.0,0.54,0.38390737429650346,0.9069374452744333,0.3,0.5333333333333333,0.06666666666666665,0.4666666666666667
7.0,0.56,0.38706307597171663,0.9120548397998582,0.26666666666666666,0.5,0.033333333333333326,0.4666666666666667
7.0,0.5800000000000001,0.3911741232243431,0.9175471055485976,0.26666666666666666,0.5,0.033333333333333326,0.4666666666666667
7.0,0.6,0.39839479070621336,0.9221091110305559,0.26666666666666666,0.5,0.033333333333333326,0.4666666666666667
7.0,0.62,0.40891729612386357,0.9266062538464719,0.23333333333333334,0.5,0.0,0.5
7.375,0.3,0.3480051384407268,0.8358470090817791,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
7.375,0.32,0.3525341220427893,0.8460443249236289,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
7.375,0.33999999999999997,0.35701527792163423,0.8544325994565742,0.4,0.6,0.19999999999999996,0.4
7.375,0.36,0.3612462983713619,0.8643868675083313,0.4,0.6,0.16666666666666663,0.43333333333333335
7.375,0.38,0.36541588222680543,0.8725236546690792,0.4,0.6,0.16666666666666663,0.43333333333333335
7.375,0.4,0.36994474691524964,0.8800348087886258,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
7.375,0.42,0.3738989805624843,0.8879383362069632,0.36666666666666664,0.5666666666666667,0.1333333333333333,0.43333333333333335
7.375,0.44,0.3770895730403161,0.8944175234506708,0.36666666666666664,0.5666666666666667,0.1333333333333333,0.43333333333333335
7.375,0.45999999999999996,0.38243332014010195,0.9010366674676599,0.3333333333333333,0.5666666666666667,0.09999999999999998,0.4666666666666667
7.375,0.48,0.3869388790259047,0.9072957870293057,0.3333333333333333,0.5666666666666667,0.09999999999999998,0.4666666666666667
7.375,0.5,0.38935024106304106,0.9124541072653092,0.3333333333333333,0.5333333333333333,0.09999999999999998,0.43333333333333335
7.375,0.52,0.39386600076681155,0.9182295609387996,0.3,0.5333333333333333,0.06666666666666665,0.4666666666666667
7.375,0.54,0.39839562242176846,0.9231897954604,0.3,0.5333333333333333,0.06666666666666665,0.4666666666666667
7.375,0.56,0.4108462305523074,0.927520269652555,0.26666666666666666,0.5333333333333333,0.033333333333333326,0.5
7.375,0.5800000000000001,0.4055762317690619,0.9322872662616823,0.26666666666666666,0.5,0.033333333333333326,0.4666666666666667
7.375,0.6,0.4176215402471021,0.936241466137712,0.26666666666666666,0.5,0.0,0.5
7.375,0.62,0.424354477998972,0.9400413501060334,0.23333333333333334,0.5,0.0,0.5
7.75,0.3,0.35917631754449314,0.8590025016569585,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
7.75,0.32,0.3638115200930804,0.8683645517427725,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
7.75,0.33999999999999997,0.3685648308121452,0.8759312463018247,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
7.75,0.36,0.37317271815120595,0.8847421459542952,0.4,0.6,0.16666666666666663,0.43333333333333335
7.75,0.38,0.3771269883186184,0.892094052531764,0.4,0.6,0.16666666666666663,0.43333333333333335
7.75,0.4,0.381854913814286,0.8986167697641466,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
7.75,0.42,0.3870352153008887,0.9056720780140299,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
7.75,0.44,0.39019896771827833,0.9114395613061154,0.36666666666666664,0.5666666666666667,0.1333333333333333,0.43333333333333335
7.75,0.45999999999999996,0.39431928513547215,0.9171483765235621,0.3333333333333333,0.5666666666666667,0.09999999999999998,0.4666666666666667
7.75,0.48,0.39930587068862367,0.9226649260405612,0.3333333333333333,0.5666666666666667,0.09999999999999998,0.4666666666666667
7.75,0.5,0.40820987597508446,0.9271848036329013,0.3333333333333333,0.5666666666666667,0.06666666666666665,0.5
7.75,0.52,0.4085756275096486,0.9321254418842306,0.3,0.5333333333333333,0.06666666666666665,0.4666666666666667
7.75,0.54,0.4094796949102081,0.9364614617375436,0.3,0.5333333333333333,0.06666666666666665,0.4666666666666667
7.75,0.56,0.425078055942137,0.940154175585912,0.26666666666666666,0.5333333333333333,0.033333333333333326,0.5
7.75,0.5800000000000001,0.42812744402536823,0.9442532606854328,0.26666666666666666,0.5333333333333333,0.033333333333333326,0.5
7.75,0.6,0.4440484668379119,0.9476531556124995,0.26666666666666666,0.5333333333333333,0.0,0.5333333333333333
7.75,0.62,0.434190208082811,0.9508958119874892,0.23333333333333334,0.5,0.0,0.5
8.125,0.3,0.3698623729639111,0.8787871625666104,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
8.125,0.32,0.37456433575906045,0.8873272837082761,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
8.125,0.33999999999999997,0.3793528003354211,0.8942083433948417,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
8.125,0.36,0.3846326092751107,0.9019114424205636,0.4,0.6333333333333333,0.16666666666666663,0.4666666666666667
8.125,0.38,0.3888895452949886,0.9085156190204917,0.4,0.6,0.16666666666666663,0.43333333333333335
8.125,0.4,0.3928255241278138,0.9141887051566816,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
8.125,0.42,0.39834325533299597,0.9204689164195179,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
8.125,0.44,0.4043779435015537,0.9255729246073877,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
8.125,0.45999999999999996,0.4081432031662444,0.9304967458931965,0.3333333333333333,0.5666666666666667,0.09999999999999998,0.4666666666666667
8.125,0.48,0.40865454945477353,0.9353595706960732,0.3333333333333333,0.5666666666666667,0.09999999999999998,0.4666666666666667
8.125,0.5,0.42219121615891775,0.9393187654217254,0.3333333333333333,0.5666666666666667,0.06666666666666665,0.5
8.125,0.52,0.42758938411298986,0.9435401417247777,0.3,0.5666666666666667,0.06666666666666665,0.5
8.125,0.54,0.4339402695538686,0.9473027260963237,0.3,0.5333333333333333,0.06666666666666665,0.4666666666666667
8.125,0.56,0.4347184044777988,0.9504786650529342,0.26666666666666666,0.5333333333333333,0.033333333333333326,0.5
8.125,0.5800000000000001,0.4390095545253428,0.9540250685577636,0.26666666666666666,0.5333333333333333,0.033333333333333326,0.5
8.125,0.6,0.46088052428490844,0.9569388667638825,0.26666666666666666,0.5333333333333333,0.0,0.5333333333333333
8.125,0.62,0.4627711478119266,0.9596752335747225,0.23333333333333334,0.5333333333333333,0.0,0.5333333333333333
8.5,0.3,0.3800388518260213,0.8956868434741715,0.43333333333333335,0.6666666666666666,0.19999999999999996,0.4666666666666667
8.5,0.32,0.38506058776072605,0.9034376937164276,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
8.5,0.33999999999999997,0.3895168018833341,0.9096630778291586,0.43333333333333335,0.6333333333333333,0.19999999999999996,0.43333333333333335
8.5,0.36,0.39502754415361624,0.9164077910054893,0.4,0.6333333333333333,0.16666666666666663,0.4666666666666667
8.5,0.38,0.4006334339953407,0.922313644719193,0.4,0.6333333333333333,0.16666666666666663,0.4666666666666667
8.5,0.4,0.40483817024456265,0.9272473583689671,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
8.5,0.42,0.4077282172841026,0.932831818183772,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
8.5,0.44,0.4157438341433237,0.937343843983602,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
8.5,0.45999999999999996,0.4245522242245492,0.9415874638014624,0.3333333333333333,0.6,0.09999999999999998,0.5
8.5,0.48,0.42211250860589106,0.945850580711051,0.3333333333333333,0.5666666666666667,0.09999999999999998,0.4666666666666667
8.5,0.5,0.43260318499864703,0.9493262335526589,0.3333333333333333,0.5666666666666667,0.06666666666666665,0.5
8.5,0.52,0.4369120245217504,0.9529648883585764,0.3,0.5666666666666667,0.06666666666666665,0.5
8.5,0.54,0.45682654590208643,0.956216075815025,0.3,0.5666666666666667,0.033333333333333326,0.5333333333333333
8.5,0.56,0.4599863318731258,0.9589159841756448,0.26666666666666666,0.5666666666666667,0.033333333333333326,0.5333333333333333
8.5,0.5800000000000001,0.46417828401742844,0.9619918394138232,0.26666666666666666,0.5333333333333333,0.0,0.5333333333333333
8.5,0.6,0.46911821526866665,0.9645081845590466,0.26666666666666666,0.5333333333333333,0.0,0.5333333333333333
8.5,0.62,0.4809506168257153,0.9668474948990444,0.23333333333333334,0.5333333333333333,,
8.875,0.3,0.38953816762834165,0.910129048960053,0.43333333333333335,0.6666666666666666,0.19999999999999996,0.4666666666666667
8.875,0.32,0.395263242142622,0.9171364864930139,0.43333333333333335,0.6666666666666666,0.19999999999999996,0.4666666666666667
8.875,0.33999999999999997,0.39984017725869037,0.9227426816613602,0.43333333333333335,0.6333333333333333,0.16666666666666663,0.4666666666666667
8.875,0.36,0.40432669568945373,0.9286606278667353,0.4,0.6333333333333333,0.16666666666666663,0.4666666666666667
8.875,0.38,0.4105818256449409,0.9339324043587514,0.4,0.6333333333333333,0.16666666666666663,0.4666666666666667
8.875,0.4,0.418490449380818,0.9382211866964563,0.36666666666666664,0.6333333333333333,0.1333333333333333,0.5
8.875,0.42,0.41849390850272733,0.9431686750257195,0.36666666666666664,0.6,0.1333333333333333,0.4666666666666667
8.875,0.44,0.42570294085717564,0.9471611041872434,0.36666666666666664,0.6,0.09999999999999998,0.5
8.875,0.45999999999999996,0.4345448734295549,0.9508431533210121,0.3333333333333333,0.6,0.09999999999999998,0.5
8.875,0.48,0.4395833409251344,0.9545600312202149,0.3333333333333333,0.6,0.09999999999999998,0.5
8.875,0.5,0.45148281925470124,0.9575830801097772,0.3333333333333333,0.5666666666666667,0.06666666666666665,0.5
8.875,0.52,0.44386177374044605,0.960739036160028,0.3,0.5666666666666667,0.06666666666666665,0.5
