seed,regime,metric,signed_area,absolute_area,max_absolute_gap,gap_at_alpha_0
20270824,no rewiring,Q,0.0,0.0,0.0,0.0
20270824,no rewiring,r_x,0.007899177079525085,0.008181114051146233,0.04868159131065808,0.028148832839784588
20270824,no rewiring,phi,0.0,0.0,0.0,0.0
20270824,no rewiring,P,0.004910482665311641,0.004910482665311641,0.012673047533318021,0.006649762383764857
20270824,fast reversible,Q,0.12749999999999997,0.12749999999999997,0.3916666666666666,0.0
20270824,fast reversible,r_x,0.23053299750945977,0.23053669849023714,0.6495036141657919,0.05517148077831213
20270824,fast reversible,phi,-0.13076923076923075,0.13076923076923075,0.40170940170940167,0.0
20270824,fast reversible,P,0.09740741143131947,0.09744175764262075,0.29381330711284614,0.008124620679345357
20270824,"fast reversible, slow ramp",Q,0.05708333333333333,0.05708333333333333,0.3916666666666666,0.0
20270824,"fast reversible, slow ramp",r_x,0.08893191468522246,0.10087474502307704,0.6458369217721991,-0.026077089857576674
20270824,"fast reversible, slow ramp",phi,-0.05854700854700856,0.05854700854700856,0.40170940170940167,0.0
20270824,"fast reversible, slow ramp",P,0.04241634244671181,0.04328597003257927,0.2903263849000969,0.00014200297909576498
20270824,slow reversible,Q,0.19604166666666667,0.19604166666666667,0.3916666666666666,0.09166666666666667
20270824,slow reversible,r_x,0.3046149674511823,0.30463635234281183,0.6483971788021363,0.0964724288708686
20270824,slow reversible,phi,-0.20106837606837608,0.20106837606837608,0.40170940170940167,-0.09401709401709402
20270824,slow reversible,P,0.14552803659601476,0.1455614615402936,0.3221133712412637,0.02029233770044972
20270824,"slow reversible, slow ramp",Q,0.10083333333333333,0.10083333333333333,0.3916666666666666,0.0
20270824,"slow reversible, slow ramp",r_x,0.15914357481411312,0.16782679296892153,0.6464761578053825,-0.00832385104958383
20270824,"slow reversible, slow ramp",phi,-0.10341880341880343,0.10341880341880343,0.40170940170940167,0.0
20270824,"slow reversible, slow ramp",P,0.07776340210945241,0.07835266338592482,0.29390486434038826,0.0008232805477089364
